Abfahrt,Zugnr.,nach (Ankunft),Abfahrtsbhf.
22:28,RE 62037,Berlin-Charlottenburg (an 22:30),Berlin Zoologischer Garten
22:33,RE 62034,Berlin Ostbahnhof (an 22:52),Berlin Zoologischer Garten
22:40,RE 92336,Berlin Ostbahnhof (an 22:56),Berlin Zoologischer Garten
22:45,RE 3136,Vetschau (an 00:24),Berlin Zoologischer Garten
22:47,RE 73793,Möser (an 00:21),Berlin Zoologischer Garten
22:50,RE 33832,Berlin-Wannsee (an 22:36),Berlin Zoologischer Garten
22:50,RE 73748,Frankfurt(Oder) (an 00:15),Berlin Zoologischer Garten
22:57 (+51),ICE 655,Berlin Ostbahnhof (an 23:15),Berlin Zoologischer Garten Zoologischer 
22:57 (+48),ICE 655,Berlin Ostbahnhof (an 23:15),Berlin Zoologischer Garten
23:12 (+15),ICE 645,Berlin Ostbahnhof (an 23:27),Berlin Zoologischer Garten
23:26 (+28),ICE 274,Berlin Ostbahnhof (an 23:41),Berlin Zoologischer Garten
23:26 (+22),ICE 274,Berlin Ostbahnhof (an 23:41),Berlin Zoologischer Garten Zoologischer 
23:26,RE 62039,Berlin-Charlottenburg (an 23:29),Berlin Zoologischer Garten
23:33,RE 62036,Berlin Ostbahnhof (an 23:52),Berlin Zoologischer Garten
23:35 (+7),ICE 271,Chur (an 11:22),Berlin Zoologischer Garten
23:35 (+4),ICE 271,Chur (an 11:22),Berlin Zoologischer Garten Zoologischer 
23:40,RE 92338,Berlin Ostbahnhof (an 23:56),Berlin Zoologischer Garten
23:45,RE 3138,Cottbus Hbf (an 01:39),Berlin Zoologischer Garten
23:47,RE 56381,Berlin-Wannsee (an 23:59),Berlin Zoologischer Garten
23:47,RE 73795,Brandenburg Hbf (an 00:39),Berlin Zoologischer Garten
23:52,RE 33834,Frankfurt(Oder) (an 01:14),Berlin Zoologischer Garten
23:52,RE 73750,Eisenhüttenstadt (an 01:38),Berlin Zoologischer Garten
