Ankunft,Zugnr.,von (Abfahrt),Ankunftsbhf.
22:07,RE 73788,Brandenburg Hbf (ab 21:19),Berlin Zoologischer Garten
22:20 (+9),RE 3741,Senftenberg (ab 20:14),Berlin Zoologischer Garten
22:20,RE 7,Berlin-Lichtenberg (ab 03:53),Berlin Zoologischer Garten
22:27,RE 62037,Flughafen BER (ab 21:44),Berlin Zoologischer Garten
22:32,RE 62034,Wismar (ab 19:24),Berlin Zoologischer Garten
22:39,RE 3738,Dessau Hbf (ab 21:05),Berlin Zoologischer Garten
22:46,RE 73793,Güsen(b Genthin) (ab 00:10),Berlin Zoologischer Garten
22:49,RE 73748,Pillgram (ab 00:05),Berlin Zoologischer Garten
23:25 (+4),RE 62039,Flughafen BER (ab 22:44),Berlin Zoologischer Garten
23:39,RE 3740,Dessau Hbf (ab 22:05),Berlin Zoologischer Garten
23:46,RE 73795,Frankfurt(Oder) (ab 22:24),Berlin Zoologischer Garten
